"Picked","RadiusAverageRMS","AxisRatio","Compactness","TotalArea"
"False",0.119,0.122,0.282,0.017
"False",0.106,0.245,0.405,0.017
"False",0.134,0.186,0.242,0.018
"False",0.145,0.756,0.864,0.061
"False",0.134,0.186,0.242,0.018
"False",0.092,0.377,0.581,0.016
"False",0.209,0.855,0.858,0.129
"False",0.371,0.035,0.095,0.058
"False",0.096,0.699,0.82,0.025
"False",0.144,0.166,0.225,0.02
"False",0.181,0.095,0.183,0.026
"False",0.09,0.206,0.378,0.012
"False",0.691,0.027,0.05,0.105
"False",0.185,0.131,0.178,0.026
"False",0.134,0.186,0.242,0.018
"False",0.169,0.07,0.193,0.024
"False",0.144,0.166,0.225,0.02
"False",0.244,0.186,0.408,0.106
"False",0.091,0.573,0.737,0.022
"False",0.112,0.183,0.312,0.016
"False",0.209,0.18,0.363,0.106
"False",0.198,0.081,0.215,0.036
"False",0.179,0.824,0.837,0.093
"False",0.114,0.169,0.295,0.016
"False",0.094,0.263,0.335,0.012
"False",0.095,0.266,0.461,0.017
"False",0.185,0.13,0.233,0.035
"False",0.089,0.225,0.354,0.012
"False",0.157,0.101,0.218,0.023
"False",0.094,0.263,0.335,0.012
"False",0.125,0.168,0.258,0.017
"False",0.255,0.048,0.132,0.038
"False",0.118,0.102,0.269,0.016
"False",0.295,0.076,0.112,0.043
"False",0.118,0.102,0.269,0.016
"False",0.095,0.247,0.377,0.014
"False",0.112,0.172,0.292,0.015
"False",0.273,0.067,0.125,0.041
"False",0.123,0.803,0.867,0.043
"False",0.112,0.178,0.336,0.018
"False",0.09,0.259,0.449,0.015
"False",0.17,0.869,0.883,0.083
"False",0.084,0.316,0.509,0.014
"False",0.089,0.225,0.354,0.012
"False",0.98,0.021,0.085,0.353
"False",0.325,0.111,0.288,0.166
"False",0.422,0.028,0.143,0.112
"False",0.102,0.176,0.34,0.015
"False",0.456,0.054,0.092,0.084
"False",0.206,0.849,0.882,0.125
"False",0.212,0.068,0.196,0.039
"False",0.152,0.792,0.837,0.067
"False",0.239,0.821,0.891,0.169
"False",0.096,0.293,0.44,0.016
"False",0.155,0.743,0.827,0.069
"False",0.158,0.106,0.24,0.025
"False",0.185,0.839,0.875,0.1
"False",0.112,0.443,0.691,0.032
"False",0.203,0.143,0.301,0.052
"False",0.174,0.822,0.886,0.089
"False",0.215,0.793,0.86,0.136
"False",0.094,0.445,0.707,0.021
"False",0.212,0.117,0.236,0.045
"False",0.709,0.018,0.071,0.158
"False",0.248,0.067,0.137,0.037
"False",0.089,0.225,0.354,0.012
"False",0.13,0.172,0.38,0.028
"False",0.099,0.295,0.439,0.018
"False",0.278,0.07,0.144,0.049
"False",0.413,0.035,0.093,0.07
"False",0.175,0.864,0.894,0.089
"False",0.089,0.439,0.697,0.02
"False",0.175,0.827,0.851,0.089
"False",0.181,0.775,0.851,0.095
"False",0.229,0.883,0.893,0.156
"False",0.229,0.099,0.189,0.035
"False",0.179,0.731,0.863,0.092
"False",0.091,0.395,0.647,0.022
"False",0.196,0.812,0.835,0.112
"False",0.103,0.227,0.331,0.014
"False",0.136,0.204,0.332,0.025
"False",0.112,0.156,0.319,0.018
"False",0.103,0.456,0.573,0.026
"False",0.123,0.258,0.479,0.028
"False",0.099,0.338,0.66,0.023
"False",0.098,0.266,0.477,0.019
"False",0.128,0.153,0.346,0.024
"False",0.091,0.273,0.547,0.017
"False",0.168,0.818,0.859,0.082
"False",0.195,0.784,0.86,0.112
"False",0.351,0.11,0.27,0.19
"False",0.087,0.378,0.643,0.018
"False",0.129,0.57,0.782,0.047
"False",0.103,0.572,0.719,0.027
"False",0.179,0.192,0.23,0.036
"False",0.109,0.137,0.325,0.016
"False",0.132,0.21,0.528,0.038
"False",0.089,0.28,0.522,0.016
"False",0.087,0.37,0.589,0.017
"False",0.147,0.765,0.854,0.063
"False",0.1,0.304,0.608,0.022
"False",0.093,0.4,0.661,0.022
"False",0.086,0.516,0.698,0.017
"False",0.13,0.253,0.503,0.041
"False",0.13,0.269,0.46,0.03
"False",0.115,0.156,0.337,0.018
"False",0.156,0.192,0.394,0.036
"False",0.114,0.536,0.758,0.035
"False",0.133,0.516,0.717,0.048
"False",0.113,0.717,0.792,0.036
"False",0.177,0.128,0.219,0.029
"False",0.11,0.373,0.633,0.028
"False",0.123,0.216,0.532,0.029
"False",0.183,0.098,0.204,0.029
"False",0.14,0.142,0.441,0.039
"False",0.125,0.171,0.425,0.023
"False",0.144,0.795,0.841,0.06
"False",0.236,0.837,0.871,0.166
"False",0.162,0.819,0.862,0.075
"False",0.161,0.117,0.364,0.04
"False",0.153,0.751,0.856,0.069
"False",0.223,0.838,0.873,0.146
"False",0.857,0.021,0.057,0.183
"False",0.241,0.088,0.202,0.052
"False",0.158,0.192,0.385,0.039
"False",0.11,0.415,0.598,0.026
"False",0.083,0.729,0.829,0.018
"False",0.149,0.672,0.844,0.062
"False",0.136,0.287,0.565,0.042
"False",0.154,0.593,0.784,0.068
"False",0.408,0.052,0.17,0.123
"False",0.183,0.087,0.229,0.029
"False",0.135,0.745,0.852,0.053
"False",0.149,0.732,0.865,0.064
"False",0.212,0.814,0.855,0.133
"False",0.164,0.783,0.861,0.078
"False",0.163,0.794,0.853,0.077
"False",0.1,0.257,0.6,0.023
"False",0.148,0.707,0.844,0.062
"False",0.169,0.249,0.56,0.071
"False",0.116,0.737,0.857,0.039
"False",0.117,0.24,0.539,0.028
"False",0.109,0.298,0.53,0.025
"False",0.165,0.117,0.205,0.02
"False",0.638,0.038,0.069,0.111
"False",0.181,0.842,0.858,0.096
"False",0.134,0.479,0.717,0.048
"False",0.225,0.819,0.872,0.149
"False",0.195,0.84,0.86,0.112
"False",0.12,0.652,0.809,0.039
"False",0.577,0.022,0.066,0.096
"False",0.719,0.018,0.097,0.231
"False",0.084,0.318,0.508,0.012
"False",0.232,0.842,0.871,0.159
"False",0.193,0.72,0.792,0.109
"False",0.289,0.082,0.214,0.075
"False",0.094,0.193,0.396,0.014
"False",0.155,0.661,0.838,0.069
"False",0.117,0.738,0.807,0.039
"False",0.161,0.612,0.829,0.074
"False",0.269,0.185,0.337,0.127
"False",0.132,0.499,0.73,0.046
"False",0.086,0.498,0.749,0.019
"False",0.088,0.415,0.55,0.019
"False",0.118,0.659,0.805,0.04
"False",0.187,0.835,0.878,0.103
"False",0.282,0.518,0.545,0.243
"False",0.177,0.764,0.856,0.092
"False",0.122,0.393,0.52,0.035
"False",0.183,0.841,0.845,0.099
"False",0.119,0.214,0.376,0.025
"False",0.087,0.397,0.629,0.018
"False",0.318,0.061,0.167,0.074
"False",0.2,0.847,0.879,0.117
"False",0.089,0.211,0.472,0.015
"False",0.088,0.59,0.736,0.02
"False",0.226,0.452,0.446,0.133
"False",0.19,0.09,0.236,0.039
"False",0.241,0.1,0.248,0.061
"False",0.111,0.185,0.37,0.028
"False",0.114,0.231,0.426,0.022
"False",0.264,0.232,0.54,0.155
"False",0.09,0.62,0.75,0.022
"False",0.096,0.363,0.629,0.023
"False",0.141,0.246,0.31,0.035
"False",0.17,0.297,0.583,0.063
"False",0.102,0.327,0.478,0.026
"False",0.553,0.037,0.132,0.17
"False",0.119,0.254,0.46,0.026
"False",0.098,0.437,0.671,0.025
"False",0.173,0.846,0.878,0.088
"False",0.882,0.033,0.11,0.364
"False",0.181,0.846,0.874,0.096
"False",0.139,0.777,0.869,0.056
"False",0.1,0.756,0.809,0.027
"False",0.09,0.395,0.646,0.02
"False",0.309,0.06,0.162,0.066
"False",0.12,0.492,0.628,0.038
"False",0.135,0.2,0.399,0.029
"False",0.098,0.249,0.4,0.015
"False",0.09,0.191,0.484,0.017
"False",0.122,0.153,0.354,0.026
"False",0.104,0.832,0.858,0.03
"False",0.277,0.801,0.849,0.228
"False",0.107,0.676,0.804,0.032
"False",0.17,0.821,0.883,0.085
"False",0.085,0.894,0.809,0.018
"False",0.19,0.155,0.269,0.048
"False",0.319,0.058,0.342,0.172
"False",0.189,0.273,0.537,0.076
"False",0.205,0.827,0.857,0.122
"False",0.155,0.822,0.875,0.07
"False",0.163,0.818,0.853,0.077
"False",0.168,0.417,0.72,0.076
"False",0.091,0.7,0.792,0.022
"False",0.153,0.849,0.835,0.068
"False",0.103,0.555,0.776,0.029
"False",0.214,0.073,0.328,0.11
"False",0.588,0.044,0.122,0.196
"False",0.097,0.36,0.647,0.022
"False",0.123,0.606,0.818,0.042
"False",0.097,0.162,0.345,0.012
"False",0.121,0.156,0.313,0.019
"False",0.421,0.043,0.125,0.1
"False",0.086,0.243,0.372,0.009
"False",0.238,0.076,0.144,0.03
"False",0.303,0.074,0.369,0.159
"False",0.086,0.243,0.372,0.009
"False",0.208,0.872,0.853,0.128
"False",0.229,0.865,0.878,0.157
"False",0.13,0.486,0.693,0.044
"False",0.233,0.84,0.861,0.16
"False",0.272,0.178,0.38,0.2
"False",0.139,0.7,0.839,0.056
"False",0.161,0.767,0.844,0.074
"False",0.11,0.593,0.754,0.032
"False",0.189,0.805,0.836,0.105
"False",0.122,0.485,0.733,0.041
"False",0.194,0.829,0.848,0.11
"False",0.201,0.079,0.251,0.042
"False",0.113,0.628,0.745,0.035
"False",0.161,0.575,0.763,0.073
"False",0.184,0.156,0.399,0.06
"False",0.158,0.839,0.864,0.072
"False",0.125,0.536,0.745,0.043
"False",0.154,0.557,0.703,0.066
"False",0.236,0.873,0.867,0.165
"False",0.19,0.843,0.864,0.106
"False",0.18,0.801,0.828,0.095
"False",0.201,0.818,0.859,0.119
"False",0.113,0.23,0.408,0.032
"False",0.184,0.818,0.845,0.099
"False",0.114,0.17,0.402,0.029
"False",0.089,0.648,0.747,0.021
"False",0.18,0.8,0.86,0.095
"False",0.216,0.099,0.252,0.048
"False",0.096,0.401,0.651,0.022
"False",0.285,0.094,0.302,0.155
"False",0.148,0.245,0.499,0.042
"False",0.216,0.113,0.284,0.063
"False",0.196,0.883,0.871,0.113
"False",0.133,0.111,0.388,0.03
"False",0.239,0.882,0.877,0.17
"False",0.168,0.143,0.344,0.047
"False",0.172,0.793,0.881,0.086
"False",0.084,0.24,0.449,0.012
"False",0.147,0.116,0.369,0.046
"False",0.086,0.521,0.679,0.018
"False",0.114,0.434,0.594,0.03
"False",0.103,0.481,0.674,0.028
"False",0.1,0.348,0.505,0.022
"False",0.152,0.424,0.722,0.062
"False",0.222,0.199,0.437,0.086
"False",0.083,0.729,0.829,0.018
"False",0.223,0.847,0.859,0.147
"False",0.116,0.205,0.446,0.024
"False",0.137,0.71,0.845,0.055
"False",0.1,0.226,0.42,0.017
"False",0.114,0.642,0.775,0.037
"False",0.184,0.83,0.868,0.099
"False",0.097,0.255,0.52,0.02
"False",0.097,0.174,0.484,0.021
"False",0.168,0.796,0.885,0.082
"False",0.096,0.532,0.708,0.023
"False",0.2,0.806,0.869,0.117
"False",0.214,0.663,0.793,0.132
"False",0.19,0.285,0.254,0.062
"False",0.338,0.203,0.493,0.239
"False",0.099,0.419,0.671,0.025
"False",0.199,0.179,0.444,0.074
"False",0.114,0.15,0.281,0.015
"False",0.173,0.775,0.853,0.086
"False",0.136,0.299,0.566,0.038
"False",0.12,0.665,0.803,0.042
"False",0.205,0.087,0.167,0.025
"False",0.11,0.624,0.787,0.032
"False",0.799,0.064,0.181,0.525
"False",0.113,0.329,0.589,0.029
"False",0.283,0.093,0.199,0.072
"False",0.426,0.108,0.271,0.223
"False",0.217,0.824,0.846,0.139
"False",0.164,0.794,0.881,0.079
"False",0.21,0.848,0.868,0.13
"False",0.085,0.232,0.432,0.013
"False",0.202,0.794,0.885,0.121
"False",0.13,0.727,0.838,0.049
"False",0.244,0.826,0.844,0.177
"False",0.24,0.108,0.241,0.058
"False",0.494,0.067,0.167,0.173
"False",0.349,0.116,0.48,0.264
"False",0.307,0.169,0.434,0.165
"False",0.114,0.417,0.55,0.032
"False",0.168,0.776,0.859,0.082
"False",0.101,0.593,0.74,0.028
"False",0.189,0.827,0.875,0.104
"False",0.099,0.226,0.528,0.023
"False",0.084,0.318,0.473,0.018
